GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
Gm15694	30	28	9	14	21	4	40	8	0	13	4	19	13	13	4	24
Gm15698	8	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Gm15706	80	77	77	44	37	70	127	66	75	85	68	45	42	52	58	62
Gm15708	213	230	327	319	276	104	108	239	276	302	299	112	141	337	313	473
Gm15713	1	0	7	16	5	0	0	0	0	1	2	0	0	6	0	5
Gm15760	42	23	78	23	25	25	35	20	33	30	22	24	25	59	32	20
Gm15787	13	18	27	36	18	10	11	17	25	21	12	15	28	14	39	32
Gm15800	432	503	515	1150	863	291	455	456	781	552	474	296	648	934	1105	1494
Gm15850	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Gm1587	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0
Gm15880	6	4	12	12	4	0	0	26	6	1	24	15	7	2	3	1
Gm15908	6	4	2	0	0	14	10	2	0	1	0	11	4	1	0	0
Gm15910	47	4	4	16	6	0	12	16	0	44	16	18	4	16	2	15
Gm15915	0	0	10	0	3	5	44	4	11	45	29	0	2	3	4	0
Gm15941	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1
Gm15972	4	11	3	2	8	13	0	13	2	0	2	1	2	0	0	0
Gm15987	159	197	11	3	8	631	793	539	117	44	19	86	96	0	0	0
Gm16023	29	26	52	30	25	7	10	19	30	43	36	11	25	38	46	42
Gm1604b	3	2	2	2	2	0	0	0	3	1	1	0	1	0	4	1
Gm16062	20	57	193	102	70	48	57	49	52	60	48	39	36	83	87	97
Gm16070	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Gm16157	11	12	26	26	26	12	2	5	55	44	34	3	18	41	38	39
Gm16159	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Gm16287	2	4	0	0	0	120	211	78	0	18	11	10	20	0	3	0
Gm16325	1	2	0	1	1	11	0	0	0	0	0	0	2	1	2	0
Gm16386	25	10	0	20	0	4	36	15	1	16	14	8	19	10	3	12
Gm16432	2	0	0	2	0	0	0	3	2	3	0	4	4	0	0	0
Gm1647	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Gm16523	6	8	19	8	29	0	2	10	55	0	16	14	6	19	32	40
Gm16532	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	7
Gm16548	10	24	0	0	0	32	23	9	0	3	2	2	5	0	0	0
Gm16576	69	84	72	89	126	77	125	38	120	96	137	71	70	118	53	198
Gm16596	0	0	0	0	0	0	0	0	7	0	0	0	0	8	0	2
Gm166	22	17	34	23	33	60	19	14	19	22	11	39	52	31	20	35
Gm1661	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm16617	3	0	7	3	1	7	1	0	3	0	0	4	1	1	2	0
Gm16675	25	25	32	2	26	73	58	32	34	27	65	25	17	14	22	18
Gm16701	0	0	0	0	0	0	10	19	1	0	0	2	4	0	0	0
Gm16702	3	2	1	10	0	4	6	6	26	5	10	4	9	0	0	0
Gm16712	33	49	25	23	21	8	32	23	8	22	7	25	44	11	14	28
Gm1673	8	6	52	19	11	39	29	33	8	15	3	40	24	7	10	22
Gm16740	13	13	41	13	11	8	6	11	16	12	17	8	5	8	13	21
Gm16793	4	20	8	17	25	117	19	8	16	0	18	6	1	0	20	6
Gm16796	4	4	5	1	2	0	6	3	2	6	1	2	10	12	9	5
Gm16845	43	67	83	41	60	21	68	32	41	53	41	28	40	75	94	96
Gm16853	1	0	5	3	3	2	1	0	3	0	1	2	0	0	2	2
Gm16861	26	28	40	14	21	36	38	27	14	31	2	22	39	15	25	29
Gm16894	5	5	2	7	0	5	3	18	3	0	2	11	15	0	4	0
Gm16897	0	3	1	0	1	12	0	23	0	5	3	2	6	0	0	1
Gm16907	26	35	52	63	48	19	0	38	29	8	40	22	35	14	55	60
Gm16938	36	36	4	10	5	74	57	102	2	8	2	25	14	6	2	23
Gm16973	28	19	11	97	48	10	33	44	52	45	40	21	77	94	65	125
Gm16982	0	0	0	0	0	0	0	0	4	0	1	0	0	2	0	0
Gm16998	4	3	4	5	10	3	3	6	11	2	16	7	2	10	1	24
Gm17066	40	58	8	69	83	36	10	46	98	77	37	84	97	46	101	64
Gm1720	0	2	1	2	0	0	0	5	0	0	2	0	0	0	9	0
Gm17296	184	192	184	116	242	116	30	128	401	544	451	132	260	131	128	284
Gm17359	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm17365	0	0	0	0	0	0	0	0	7	0	0	0	1	2	2	1
Gm17455	15	5	2	1	0	12	0	4	5	5	10	0	0	0	0	0
Gm17660	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm17745	1	3	12	18	2	30	38	26	5	20	9	0	5	7	14	4
Gm17746	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm17762	0	4	5	2	1	0	0	1	0	4	2	0	0	0	0	0
Gm17769	0	0	0	0	1	0	2	2	0	0	0	0	0	0	2	0
Gm17801	0	5	7	1	3	0	0	0	13	3	3	0	2	0	0	9
Gm1821	1035	1169	1387	1554	1348	1300	1128	1290	1201	1210	1086	2618	1316	1985	1681	1310
Gm18409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Gm19299	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm19345	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm19395	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm1943	24	20	40	36	23	25	16	36	21	31	3	22	27	35	28	77
Gm19434	36	47	0	0	0	25	1	4	0	5	0	60	101	4	4	6
Gm19461	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2
Gm19466	2	6	8	0	6	0	0	0	17	12	0	8	2	0	2	2
Gm19510	15	23	0	3	4	4	0	2	6	0	2	4	1	0	4	0
Gm19522	30	17	15	24	45	44	39	27	42	1	13	14	16	30	15	19
Gm19557	110	152	96	52	95	57	225	62	41	74	115	108	99	17	20	44
Gm19589	0	4	0	10	0	30	0	10	3	2	0	11	2	20	6	0
Gm1965	214	189	0	0	0	14	47	30	8	0	0	69	96	0	0	0
Gm1966	1062	904	12	22	61	1264	1737	1863	470	808	1308	1069	1048	2	24	38
Gm1968	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm19689	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Gm19705	67	87	180	119	110	39	28	75	148	153	225	27	48	230	225	311
Gm19710	14	8	15	5	3	4	6	1	5	1	6	9	4	5	3	1
Gm19757	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm1976	33	30	30	65	34	35	33	46	43	64	51	44	46	89	57	84
Gm19897	136	66	63	104	59	116	96	128	90	68	62	83	102	86	90	137
Gm20098	54	9	173	221	199	0	0	5	125	18	7	23	37	86	207	285
Gm2011	8	4	13	7	3	2	2	2	2	9	3	1	3	5	10	12
Gm20110	0	0	1	0	0	0	2	2	0	0	1	2	0	2	0	2
Gm20139	7	28	20	23	25	0	2	0	22	4	4	23	13	40	45	84
Gm20172	1	0	0	0	1	1	5	0	2	2	1	4	4	2	1	0
Gm20187	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20199	163	103	178	241	180	179	45	44	249	94	145	85	120	103	171	273
Gm20219	0	0	0	0	0	0	0	0	2	0	4	4	0	0	2	4
Gm20257	82	122	23	7	8	78	30	32	24	43	44	46	37	14	18	45
Gm2027	4	10	0	0	0	2	3	2	4	0	0	1	3	0	0	0
Gm20300	194	126	338	182	137	103	96	63	95	89	103	161	265	203	137	306
Gm20319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm20324	128	106	220	337	232	161	199	100	296	432	372	177	169	270	326	288
Gm20337	42	20	61	72	36	8	27	4	29	23	14	16	39	52	36	66
Gm2042	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20556	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0
Gm20594	0	0	2	1	0	1	1	0	1	0	2	0	0	0	1	0
Gm20597	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Gm20605	34	27	6	45	38	2	3	5	14	9	29	41	58	37	24	30
Gm2061	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Gm20735	0	3	1	4	4	3	0	0	3	2	2	0	2	1	6	0
Gm20740	2	0	22	21	17	0	0	19	9	12	2	0	0	11	20	4
Gm20743	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Gm20750	2	0	17	18	15	4	0	0	1	0	0	0	11	12	35	23
Gm20753	3	9	0	0	0	0	7	2	0	5	2	4	2	0	0	4
Gm20755	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Gm20756	3	0	12	2	0	0	0	0	0	0	0	6	0	0	0	0
Gm20767	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2087	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Gm20871	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm20939	64	70	34	44	40	120	59	52	99	62	44	40	53	21	65	83
Gm21057	0	3	0	0	0	0	4	3	2	0	2	4	2	0	2	0
Gm2115	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Gm21188	575	711	51	19	18	1577	1569	2194	20	47	68	971	569	7	16	5
Gm21284	2	3	0	3	0	0	18	0	2	0	12	2	4	0	9	4
Gm21319	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2
Gm2176	12	4	10	0	0	0	0	0	0	0	0	2	6	10	14	2
Gm21859	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm24148	0	2	1	0	0	0	0	0	1	2	2	4	2	0	1	0
Gm2447	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
Gm2518	7	9	5	10	6	0	0	8	14	4	4	9	9	4	5	9
Gm25500	0	1	0	1	0	0	0	0	1	0	2	0	4	0	1	0
Gm2560	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0
Gm266	2	0	4	0	1	0	0	0	0	0	4	8	4	0	0	0
Gm2663	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm26688	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm2694	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27162	45	28	121	108	117	38	23	23	163	30	75	28	45	162	113	217
Gm2721	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Gm2762	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	3
Gm28042	0	0	1	2	1	0	2	0	0	0	1	1	0	0	1	0
Gm2848	9	7	0	0	0	17	19	37	2	1	2	4	7	1	0	1
Gm2863	4	2	5	0	5	0	2	1	1	2	4	2	0	3	0	1
Gm2897	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29684	0	0	0	0	0	0	0	0	0	1	19	0	1	1	0	0
Gm29766	633	747	624	1275	1275	428	542	489	1611	1316	1103	385	790	1423	2150	2308
Gm29805	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Gm29811	0	7	2	8	6	0	15	0	0	6	3	0	1	0	1	11
Gm2a	48370	54369	2949	2178	1720	57337	62719	46967	3183	5045	5263	57999	51723	1734	2140	2581
Gm3002	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
Gm30505	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm3086	8	11	195	153	94	0	6	7	37	11	3	19	36	143	152	163
Gm31763	2	2	0	1	2	3	9	0	2	4	2	1	6	2	1	3
Gm3219	19	35	17	13	27	33	29	30	26	23	21	26	42	26	25	32
Gm3230	48	64	167	164	112	31	93	56	73	51	67	26	48	39	71	104
Gm32511	3	0	0	0	0	0	40	27	0	0	0	1	2	0	0	0
Gm3258	6	7	41	117	24	28	10	8	9	14	13	12	17	27	17	25
Gm3336	292	319	0	0	2	78	62	66	0	0	0	690	485	0	4	8
Gm3363	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	6
Gm3414	123	194	35	176	188	50	86	101	138	156	57	171	185	149	218	320
Gm3435	8	11	18	9	5	6	4	11	2	14	12	8	12	11	14	10
Gm3458	0	0	0	0	0	3	13	20	0	0	0	1	2	0	0	0
Gm3558	0	2	0	0	0	0	0	5	4	0	0	1	0	0	0	0
Gm35612	2	0	7	17	11	4	0	0	4	6	2	0	6	7	24	4
Gm3604	76	82	41	100	146	107	105	58	149	134	46	89	72	80	157	178
Gm3636	4	2	7	7	4	17	3	5	1	8	10	2	1	2	0	12
Gm36633	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm3696	6	1	0	4	2	5	0	3	2	4	4	0	0	2	0	4
Gm3704	7	7	7	51	18	54	11	27	65	19	16	18	12	38	29	40
Gm3716	4	8	15	37	28	4	12	0	6	21	8	10	37	48	25	30
Gm38397	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm38403	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Gm38407	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm38415	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38425	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Gm38426	18	9	0	24	6	16	6	0	2	4	1	24	11	0	3	6
Gm38431	2	0	2	4	1	0	1	1	0	0	0	0	0	0	1	2
Gm38670	0	2	1	3	9	3	1	6	3	0	6	11	3	4	12	9
Gm4013	18	33	40	21	16	14	18	16	17	46	52	25	22	22	28	20
Gm4224	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm4262	10	0	0	0	2	0	4	28	0	0	0	4	8	0	0	2
Gm4278	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Gm4285	65	68	69	132	99	56	80	106	102	43	71	60	58	100	81	118
Gm4349	3	16	10	0	0	0	3	8	0	0	0	33	30	0	1	1
Gm4371	0	0	35	0	5	0	0	2	4	2	3	4	21	27	39	58
Gm438	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm4432	19	17	9	16	24	34	20	7	18	12	14	19	15	36	28	26
Gm4461	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm4489	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4532	27	15	51	32	21	11	0	0	9	12	3	11	20	34	25	74
Gm4566	2	0	4	2	2	0	0	2	0	2	0	0	0	0	0	4
Gm4598	2	0	0	12	2	0	2	0	1	0	0	2	0	0	0	2
Gm4719	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm4737	4	4	14	6	0	2	2	0	8	39	2	2	3	2	2	4
Gm4759	80	44	39	29	98	116	158	215	134	664	637	26	90	13	63	61
Gm4787	5	5	30	4	12	12	14	20	2	13	2	2	16	4	3	6
Gm4788	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Gm4814	0	2	2	4	14	7	0	0	5	0	10	0	2	5	5	5
Gm4827	9	7	15	0	0	32	24	6	5	14	10	15	1	0	1	1
Gm4832	7	20	0	0	0	0	25	14	0	0	0	4	10	1	4	0
Gm4841	0	0	0	0	0	5	1	1	10	1	7	0	10	0	0	0
Gm4872	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
Gm4890	50	25	94	44	42	44	53	68	74	43	49	26	19	50	26	66
Gm4894	0	0	15	0	5	0	0	0	1	0	0	0	2	5	4	4
Gm4925	12	22	7	22	16	0	0	36	1	4	10	6	7	0	0	18
Gm4944	300	261	147	286	169	148	61	140	228	143	113	210	291	230	211	324
Gm4951	38	22	0	0	0	317	497	216	8	24	26	124	211	0	2	0
Gm4952	0	5	0	0	3	1	0	0	0	0	0	8	1	0	0	0
Gm4956	46	44	22	0	0	158	121	117	67	230	205	2	0	0	0	0
Gm4961	6	0	0	0	0	0	0	8	2	0	0	2	0	0	0	2
Gm4980	13	25	51	41	53	135	183	223	45	55	70	71	149	16	61	51
Gm5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm5065	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm5069	14	14	36	27	24	15	7	17	14	28	19	30	45	13	34	39
Gm5083	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5086	412	436	0	0	0	195	233	216	0	18	6	171	117	0	0	0
Gm5087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm5088	2	2	2	0	1	2	4	1	8	2	10	2	4	12	2	10
Gm5091	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm5111	12	8	60	4	10	34	10	41	19	45	38	4	12	0	6	10
Gm5113	46	57	108	73	86	0	25	56	65	47	59	49	48	99	98	161
Gm5122	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5124	10	9	4	19	42	0	4	11	13	9	0	2	5	0	8	0
Gm5126	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Gm5127	0	2	0	0	0	40	21	27	1	30	10	2	13	0	0	0
Gm5129	6	5	5	6	2	3	5	7	16	6	6	5	7	3	10	6
Gm5134	61	45	135	86	59	0	2	35	25	23	10	8	50	44	49	170
Gm5141	115	140	34	122	196	126	123	34	228	98	151	84	96	104	253	253
Gm5148	83	94	242	108	127	125	99	50	123	158	134	69	118	141	150	117
Gm5150	204	190	0	0	0	144	380	273	3	0	3	160	169	0	2	0
Gm5176	0	0	5	2	1	1	0	1	1	3	4	0	1	3	4	1
Gm5177	11	8	15	7	10	7	4	6	4	18	9	2	11	13	10	7
Gm525	97	77	1205	847	642	115	4	61	424	106	79	114	199	809	1016	1025
Gm527	70	67	132	112	95	65	47	29	82	87	44	21	53	76	76	146
Gm5347	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm5431	69	61	6	0	4	87	164	246	8	16	4	45	119	0	0	0
Gm5434	0	1	5	0	6	0	4	4	0	4	3	4	0	6	5	4
Gm5441	2	1	1	5	2	0	0	0	0	0	0	0	0	0	0	0
Gm5458	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm5464	4	8	22	0	0	7	0	2	0	0	1	9	6	0	4	0
Gm5468	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Gm5475	0	0	2	6	0	0	8	0	0	0	2	1	2	4	2	3
Gm5476	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Gm5483	0	0	0	0	2	10	6	16	4	1	2	0	0	0	0	0
Gm5512	7	8	12	10	10	2	2	7	6	14	18	4	11	10	6	16
Gm5523	15	5	13	13	20	12	10	8	11	18	11	8	15	18	4	8
Gm5532	15	0	0	0	0	0	0	19	2	0	0	2	11	0	0	0
Gm5535	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm5544	0	4	0	6	0	0	2	18	0	0	6	9	10	3	3	6
Gm5547	849	935	63	31	19	254	317	307	93	137	155	318	282	61	40	66
Gm5577	0	0	1	0	6	1	0	0	0	0	2	0	0	0	3	2
Gm5595	80	74	40	56	165	52	47	65	77	128	90	107	49	80	114	67
Gm561	144	115	361	194	181	156	189	126	170	208	91	141	208	204	244	346
Gm5617	355	420	272	161	156	304	272	211	128	179	189	301	290	168	206	273
Gm5643	4	2	18	3	12	6	11	0	10	13	8	2	9	6	14	5
Gm572	1	0	3	0	2	0	0	0	0	0	0	0	0	1	2	4
Gm5741	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0
Gm5766	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0
Gm5771	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
Gm5779	0	0	3	7	2	0	0	1	0	2	0	0	0	0	3	0
Gm5796	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	1
Gm5801	9	12	14	9	8	8	16	13	10	6	7	3	4	12	12	10
Gm5803	3	2	0	5	2	0	0	0	3	3	3	0	0	1	1	1
Gm5820	7	0	0	0	0	0	1	18	0	8	0	0	5	0	0	0
Gm5861	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Gm5868	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10
Gm5878	0	0	0	0	1	0	0	0	18	0	0	0	0	0	1	3
Gm5893	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Gm590	4	3	11	20	7	13	0	0	21	23	14	2	1	0	0	7
Gm5907	5	7	26	78	39	0	0	0	24	1	0	5	7	36	44	92
Gm5934	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm595	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Gm6034	0	0	0	3	1	0	1	0	0	0	2	1	0	0	0	2
Gm608	250	303	67	276	308	126	183	129	185	121	149	273	217	310	422	405
Gm6086	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Gm609	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Gm6093	0	0	1	0	0	0	28	0	0	0	0	11	0	0	4	8
Gm6116	7	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm614	1	3	0	2	0	0	0	0	1	5	5	0	5	0	2	9
Gm6150	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm6194	2	4	0	0	0	2	2	1	0	0	0	0	0	0	2	0
Gm6213	2	0	4	0	0	12	14	0	3	0	2	0	2	0	0	0
Gm6225	27	44	59	30	41	9	12	12	20	14	22	35	37	13	37	45
Gm6249	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Gm6251	27	27	81	22	32	49	46	26	28	70	57	28	15	53	27	32
Gm6260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Gm6268	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm6277	0	0	0	0	0	8	33	40	1	1	2	3	10	15	0	1
Gm6297	4	28	70	19	29	24	2	22	9	40	35	21	16	5	13	27
Gm6300	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm6307	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6329	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
Gm6377	10986	10621	153	70	31	7243	6673	5220	207	32	90	12922	10711	24	88	130
Gm6402	90	50	196	88	70	70	57	62	63	78	63	59	81	67	85	79
Gm6416	10	8	0	0	0	0	0	0	0	0	0	16	1	0	0	0
Gm6455	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Gm6460	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm648	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm6484	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	2
Gm6498	4	5	10	7	1	7	7	6	0	9	6	4	4	15	3	10
Gm6524	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm6525	0	0	2	0	3	0	2	0	5	4	0	0	0	0	0	7
Gm6537	13	2	0	2	3	0	0	0	4	0	2	0	0	0	1	7
Gm6548	84	51	38	37	28	10	50	84	71	75	41	122	127	73	58	36
Gm6559	0	0	5	0	0	0	0	0	0	0	0	0	0	1	2	0
Gm6568	2	0	5	0	0	0	0	0	0	1	0	0	0	0	5	0
Gm6578	1	0	0	0	0	1	0	0	0	0	6	0	1	0	2	2
Gm6583	0	4	0	0	0	0	0	2	0	0	0	12	4	0	0	6
Gm6607	1	0	0	0	3	1	1	3	1	1	1	0	1	2	0	0
Gm6623	15	10	47	4	21	27	0	0	23	8	5	15	6	4	53	28
Gm6634	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Gm6639	1	1	2	0	0	0	3	1	0	0	0	0	0	0	0	1
Gm6654	16	5	18	16	6	7	12	2	12	19	23	16	12	14	14	21
Gm6682	37	40	65	59	58	72	60	55	35	44	29	78	99	84	82	69
Gm6756	1	0	9	1	0	4	2	1	0	2	5	0	1	2	0	2
Gm6787	11	3	24	19	11	0	0	1	18	30	16	9	6	8	8	11
Gm6792	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gm6815	0	0	1	1	2	0	0	1	1	0	0	0	0	0	2	2
Gm684	4	0	10	0	8	30	116	87	0	0	8	19	23	0	0	0
Gm6878	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm6904	11	26	10	0	0	49	25	47	1	31	18	16	16	1	0	0
Gm6936	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm6961	23	20	293	193	202	0	0	8	121	14	16	29	44	210	265	264
Gm6981	19	12	91	77	87	23	16	19	28	70	14	17	23	72	62	47
Gm7008	0	5	9	0	5	0	5	3	1	8	2	6	6	3	5	4
Gm7030	6	8	2	3	3	4	3	6	4	0	0	1	2	5	3	4
Gm7056	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm7102	2	0	2	0	0	0	0	0	1	0	2	0	0	0	1	1
Gm7120	45	52	208	218	102	32	27	43	114	75	67	52	50	99	176	189
Gm715	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Gm7444	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0
Gm7457	6	0	0	5	0	0	0	0	0	0	5	0	0	1	2	6
Gm7534	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Gm7609	62	75	2	0	0	26	43	33	7	0	2	49	49	1	0	2
Gm766	0	5	1	16	3	0	15	6	0	0	0	0	10	0	4	14
Gm7694	27	19	0	0	0	164	32	115	12	0	0	88	60	0	0	0
Gm7788	1	0	0	0	0	2	2	1	0	0	0	0	1	1	0	0
Gm7854	7	13	6	3	4	6	2	7	9	3	6	7	4	0	3	2
Gm7904	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	4
Gm7977	0	2	1	1	0	1	0	0	0	1	1	0	0	0	2	3
Gm8013	10	5	0	0	0	20	0	11	0	0	3	14	5	4	0	0
Gm8096	0	0	4	0	1	0	0	0	0	3	0	0	0	0	3	4
Gm813	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm815	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm8221	780	339	24	32	18	1	0	22	0	0	6	41	62	0	7	0
Gm8234	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8
Gm826	6	2	0	0	0	8	0	1	0	0	0	0	5	11	1	2
Gm8267	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm829	370	362	0	0	0	57	42	15	1	6	6	7	1	0	0	0
Gm8298	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Gm8300	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Gm8363	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Gm8369	33	22	14	7	0	94	63	93	137	255	191	11	10	0	4	6
Gm839	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm8439	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0
Gm8580	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	2
Gm8615	5	2	2	2	4	5	16	7	0	0	6	4	6	1	9	1
Gm8633	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm867	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm8709	3	1	2	2	0	1	0	0	3	4	2	0	2	2	2	1
Gm8773	26	8	0	0	0	0	0	8	0	0	2	4	4	0	0	0
Gm8801	1	1	6	4	1	1	0	0	0	0	4	0	1	2	4	4
Gm8817	4	16	12	0	0	0	20	4	10	7	13	9	4	0	1	0
Gm8883	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Gm8909	30	45	166	150	172	10	16	20	84	130	139	26	55	238	336	319
